participant,task_type,log_file,distance_threshold,click_time_threshold,total_time_ms,average_click_time_ms,total_targets,completed_targets,miss_count,late_click_count
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,200.0,43115.0,1724.6,25,25,14,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,400.0,43115.0,1724.6,25,25,2,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,600.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,800.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,1000.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,1200.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,1400.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,1600.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,1800.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,20.0,2000.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,200.0,43115.0,1724.6,25,25,18,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,400.0,43115.0,1724.6,25,25,6,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,600.0,43115.0,1724.6,25,25,2,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,800.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,1000.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,1200.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,1400.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,1600.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,1800.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,30.0,2000.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,200.0,43115.0,1724.6,25,25,22,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,400.0,43115.0,1724.6,25,25,10,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,600.0,43115.0,1724.6,25,25,3,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,800.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,1000.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,1200.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,1400.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,1600.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,1800.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,40.0,2000.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,200.0,43115.0,1724.6,25,25,23,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,400.0,43115.0,1724.6,25,25,12,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,600.0,43115.0,1724.6,25,25,3,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,800.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,1000.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,1200.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,1400.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,1600.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,1800.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,50.0,2000.0,43115.0,1724.6,25,25,0,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,200.0,43115.0,1724.6,25,25,23,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,400.0,43115.0,1724.6,25,25,13,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,600.0,43115.0,1724.6,25,25,4,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,800.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,1000.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,1200.0,43115.0,1724.6,25,25,1,0
subA,A,C:\Users\Alper\Desktop\projects\TMTab\particpants\subA\participant_A_20260807_011934.jsonl,60.0,1400.0,43115.0,1724.6,25,25,0,0
